datetime,regime_state_a
2024-02-06 15:54:00,1
2024-02-06 15:55:00,1
2024-02-07 00:00:00,1
2024-02-07 00:01:00,1
2024-02-07 00:15:00,1
2024-02-07 00:16:00,1
2024-02-07 00:23:00,1
2024-02-07 00:29:00,1
2024-02-07 01:29:00,1
2024-02-07 01:30:00,1
2024-02-07 01:36:00,1
2024-02-07 01:45:00,1
2024-02-07 01:53:00,1
2024-02-07 02:00:00,1
2024-02-07 02:01:00,1
2024-02-07 02:04:00,1
2024-02-07 02:55:00,1
2024-02-07 03:31:00,1
2024-02-07 03:46:00,1
2024-02-07 04:15:00,1
2024-02-07 04:16:00,1
2024-02-07 04:22:00,1
2024-02-07 04:54:00,1
2024-02-07 04:55:00,1
2024-02-07 05:22:00,1
2024-02-07 05:36:00,1
2024-02-07 05:37:00,1
2024-02-07 05:41:00,1
2024-02-07 05:43:00,1
2024-02-07 05:45:00,1
2024-02-07 05:46:00,1
2024-02-07 05:48:00,1
2024-02-07 05:53:00,1
2024-02-07 06:06:00,1
2024-02-07 06:16:00,1
2024-02-07 06:49:00,1
2024-02-07 06:54:00,1
2024-02-07 07:12:00,1
2024-02-07 07:16:00,1
2024-02-07 07:19:00,1
2024-02-07 07:22:00,1
2024-02-07 07:23:00,1
2024-02-07 07:26:00,1
2024-02-07 07:28:00,1
2024-02-07 07:29:00,1
2024-02-07 07:32:00,1
2024-02-07 07:38:00,1
2024-02-07 07:42:00,1
2024-02-07 07:43:00,1
2024-02-07 07:50:00,1
2024-02-07 07:51:00,1
2024-02-07 07:53:00,1
2024-02-07 07:55:00,1
2024-02-07 07:57:00,1
2024-02-07 08:00:00,1
2024-02-07 08:02:00,1
2024-02-07 08:04:00,1
2024-02-07 08:05:00,1
2024-02-07 08:06:00,1
2024-02-07 08:08:00,1
2024-02-07 08:09:00,1
2024-02-07 08:10:00,1
2024-02-07 08:21:00,1
2024-02-07 08:23:00,1
2024-02-07 08:24:00,1
2024-02-07 08:26:00,1
2024-02-07 08:32:00,1
2024-02-07 08:33:00,1
2024-02-07 08:34:00,1
2024-02-07 08:36:00,1
2024-02-07 08:37:00,1
2024-02-07 08:38:00,1
2024-02-07 08:39:00,1
2024-02-07 08:40:00,1
2024-02-07 08:42:00,1
2024-02-07 08:44:00,1
2024-02-07 08:45:00,1
2024-02-07 08:46:00,1
2024-02-07 08:49:00,1
2024-02-07 08:50:00,1
2024-02-07 08:51:00,1
2024-02-07 08:52:00,1
2024-02-07 08:53:00,1
2024-02-07 08:56:00,1
2024-02-07 08:57:00,1
2024-02-07 08:58:00,1
2024-02-07 08:59:00,1
2024-02-07 09:02:00,1
2024-02-07 09:03:00,0
2024-02-07 09:04:00,0
2024-02-07 09:06:00,0
2024-02-07 09:07:00,0
2024-02-07 09:09:00,0
2024-02-07 09:10:00,-1
2024-02-07 09:11:00,0
2024-02-07 09:12:00,-1
2024-02-07 09:13:00,-1
2024-02-07 09:14:00,0
2024-02-07 09:16:00,-1
2024-02-07 09:17:00,-1
2024-02-07 09:19:00,-1
